,0
416,AGL
417,AGM Theory for Belief Revision
418,Agner Krarup Erlang
419,AGORA
420,AGP
421,AGP graphics
422,A Hardware Programming Language
423,AHDL
424,AHPL
425,AI
426,ai
427,AIA
428,AI-complete
429,AID
430,AIDA
431,AIDS
432,AIDX
433,AIFF
434,AI International
435,Aiken code
436,AI koan
437,AIMACO
438,Aimnet
439,Aion Development System
440,AIR
441,AIr MAterial COmmand compiler
442,airplane rule
443,AIT
444,AIX
445,Ajax
446,AKC
447,AKCL
448,A. K. Erlang
449,AKL
450,AL
451,al
452,Aladdin Enterprises
453,"Aladdin Systems, Inc."
454,ALADIN
455,ALAM
456,Alan F. Shugart
457,A-language
458,A Language Encouraging Program Hierarchy
459,A Language for Attributed Definitions
460,A Language with an Extensible Compiler
461,Alan Kay
462,Alan M. Turing
463,Alan Shugart
464,Alan Turing
465,ALARP
466,A-law
467,ALC
468,Alcool-90
469,ALCOR
470,Aldat
471,ALDES
472,ALDiSP
473,ALEC
474,ALEF
475,ALEPH
476,Aleph
477,aleph 0
478,alert
479,Alex
480,Alexis
481,ALF
482,Alfl
483,algebra
484,ALGEBRAIC
485,algebraic
486,Algebraic Compiler and Translator
487,algebraic data type
488,Algebraic Interpretive Dialogue
489,Algebraic Logic Functional language
490,Algebraic Manipulation Package
491,Algebraic Specification Language
492,algebraic structure
493,Algebra of Communicating Processes
494,ALGOL
495,ALGOL 58
496,ALGOL 60
497,ALGOL 60 Modified
498,ALGOL 60 Revised
499,ALGOL 68
500,ALGOL 68C
501,ALGOL 68-R
502,ALGOL 68 Revised
503,ALGOL 68RS
504,ALGOL 68S
505,ALGOL C
506,ALGOL D
507,ALGOL N
508,ALGOL W
509,ALGOL X
510,ALGOL Y
511,algorithim
512,algorithm
513,ALgorithm DEScription
514,algorithmic art
515,ALgorIthmic ASsembly language
516,Algorithmic Language
517,Algorithmic Model
518,Algorithmic Processor Description Language
519,Algorithmic Test Case Generation
520,ALGY
521,ALIAS
522,alias
523,aliasing
524,aliasing bug
525,Alice
526,alife
527,A-Life
528,ALJABR
529,al-Khwarizmi
530,Allegro
531,all-elbows
532,ALLIANCE
533,Allman style
534,allow-none
535,ALLOY
536,ALM
537,Aloha
538,Aloha Net
539,Alonzo Church
540,ALP
541,ALPAK
542,ALPHA
543,Alpha
544,Alpha AXP 21164
545,alpha/beta pruning
546,alphabetic language
547,alpha conversion
548,Alpha EV6
549,Alpha Geek
550,alphanumeric
551,alpha particle
552,Alphard
553,alpha testing
554,ALPS
555,alt
556,ALTAC
557,Altair 8800
558,Alta Vista
559,alt bit
560,ALTER
561,Alternating bit protocol
562,alternative text
563,altmode
564,ALTRAN
565,alt.sources
566,alt text
567,ALU
568,Aluminum Book
569,Alvey
570,AM
571,am
572,Amanda
573,A Manufacturing Language
574,amateur packet radio
575,Amber
576,AMBIT
577,AMBIT/G
578,AMBIT/L
579,AMBIT/S
580,AMBUSH
581,AMD
582,AMD 29000
583,AMD 29027
584,Amdahl
585,Amdahl Corporation
586,Amdahl's Law
587,AMD Am2901
588,AMD Am2903
589,AMD Am2910
590,AMD K7
591,American National Standard
592,American National Standards Institute
593,American Society of Mechanical Engineers
594,American Standard Code for Information Interchange
595,"American Telephone and Telegraph, Inc."
596,American Wire Gauge
597,"America On-Line, Inc."
598,America's Multimedia Online
599,AMI
600,Amiga
601,Amiga E
602,Aminet
603,AML
604,AML/E
605,AMO
606,Amoeba
607,AMP
608,amper
609,Ampere
610,ampersand
611,AMPL
612,AMPLE
613,Amplitude Modulation
614,amp off
615,AMPPL-II
616,AMPS
617,AMS
618,AMTRAN
619,Amulet
620,an
621,analog
622,analog computer
623,Analog Hardware Design Language
624,analogue
625,analogue computer
626,Analogy Model
627,analytical CRM
628,Analytical Engine
629,Analytical Machine
630,Analytical Solutions Forum
631,anchor
632,ANCP
633,AND
634,ANDF
635,Andorra-I
636,Andorra Kernel Language
637,Andorra-Prolog
638,Andrei Markov
639,Andrew File System
640,Andrew Fluegelman
641,Andrew Message System
642,Andrew Project
643,Andrew S. Tanenbaum
644,Andrew Tanenbaum
645,Andrew Toolkit
646,Andy Tanenbaum
647,An Evolutionary System for On-line Programming
648,Angel
649,angle bracket
650,Anglo-Saxon point
651,angry fruit salad
652,ANI
653,Animated GIF
654,animation
655,Animus
656,ANL
657,Anna
658,annealing
659,annotate
660,ANNotated Ada
661,annotation
662,annoybot
663,annoyware
664,Annual Change Traffic
665,annulled branch
666,anonymous FTP
667,ANother Tool for Language Recognition
668,ANR
669,ANS
670,ANSA
671,ANSI
672,ANSI C
673,ANSI Minimal BASIC
674,ANSI/SPARC
675,ANSI/SPARC Architecture
676,ANSI/SPARC model
677,ANSI X12
678,ANSI Z39.50
679,antenna gain
680,Anthony Hoare
681,anti-aliasing
682,antichain
683,antisymmetric
684,antivirus
685,antivirus program
686,antivirus software
687,ANTLR
688,ANU
689,ANU ML
690,any key
691,anytime algorithm
692,ao
693,AOCE
694,AOL
695,AOP
696,AOS
697,APA
698,Apache
699,Apache Software Foundation
700,APAL
701,APAREL
702,A PArse REquest Language
703,APC
704,APDL
705,APE
706,apE
707,API
708,APIC
709,APL
710,APL2
711,APLGOL
712,APLWEB
713,APM
714,Apollo Computer
715,apostrophe
716,app
717,APPC
718,AppKit
719,APPLE
720,Apple
721,Apple Address Resolution Protocol
722,Apple Attachment Unit Interface
723,"Apple Computer, Inc."
724,Apple II
725,Apple Macintosh
726,Apple Newton
727,Apple Open Collaboration Environment
728,AppleScript
729,Applesoft BASIC
730,applet
731,Appletalk
732,AppleTalk Data Stream Protocol
733,AppleTalk Filing Protocol
734,apple-touch-icon
735,apple-touch-icon-152x152.png
736,apple-touch-icon-152x152-precomposed.png
737,apple-touch-icon-precomposed
738,appletviewer
739,application
740,Application Binary Interface
741,Application Configuration Access Protocol
742,Application Control Architecture
743,Application Developer
744,application development
745,application enablement services
746,Application environment specification
747,Application Executive
748,Application Integration Architecture
749,application layer
750,application lifecycle management
751,Application Portability Architecture
752,application program
753,Application Program Interface
754,Application Programming Interface
755,Application Protocol Data Unit
756,Applications Development Manager
757,application server
758,Application Service Element
759,application service provider
760,applications language
761,application software
762,Application Software Installation Server
763,Application-Specific Integrated Circuit
764,Applications Programming Interface
765,applications software
766,application testing
767,Application Visualisation System
768,applicative language
769,Applicative Language for Digital Signal Processing
770,applicative order reduction
771,APPLOG
772,APPN
773,approximation algorithm
774,April Fool's Joke
775,A Programming Language
776,APSE
777,APT
778,APX III
779,aq
780,AQL
781,ar
782,arbitrary precision calculator
783,ARC
784,arc
785,Arcade
786,ArchBSD
787,archie
788,Archimedes
789,architecture
790,Architecture Neutral Distribution Format
791,archive
792,archive site
793,ARCnet
794,ARCS
795,Arctic
796,arena
797,ARES
798,AREV
799,AREXX
800,arg
801,argument
802,Argus
803,Ariel
804,ARI Service
805,ARITH-MATIC
806,Arithmetic and Logic Unit
807,arithmetic mean
808,arity
809,arj
810,Arjuna
811,ARL
812,ARM
813,ARM610
814,ARM7
815,ARM710
816,ARM7500
817,ARM8
818,ARM800
819,ARM Ltd
820,ARMM
821,armour-plated
822,ARP
823,ARPA
824,ARPANET
825,ARQ
826,array
827,array processor
828,Array Processor Assembly Language
829,Array Theory
830,arrow key
831,ART
832,art
833,Artemis microkernel
834,Artifex
835,artificial intelligence
836,Artificial Intelligence Lab
837,Artificial Life
838,artificial neural network
839,"Artisoft, Inc."
840,Artistic license
841,ARTSPEAK
842,AS
843,as
844,as31
845,AS/400
846,ASA
847,asap
848,asbestos
849,asbestos cork award
850,asbestos longjohns
851,ascender
852,ASCI
853,ASCII
854,ASCII art
855,ASCIIbetical order
856,ASCIIbonics
857,ASCII character table
858,ASCII graphics
859,ASDIMPL
860,ASDL
861,ASDO IMPlementation Language
862,ASE
863,A* search
864,ASF
865,ash
866,Ashmedai
867,Ashton-Tate Corporation
868,ASIC
869,Asiliant Technologies
870,A Simulation Process-Oriented Language
871,ASIS
872,ASK
873,ASL
874,ASL+
875,As Low As Reasonably Practicable
876,ASM
877,ASME
878,ASN
879,ASN.1
880,ASP
881,ASPECT
882,ASpecT
883,aspect
884,aspect-oriented programming
885,aspect ratio
886,ASPEN
887,ASPI
888,ASPIK
889,Aspirin
890,ASPLE
891,ASPOL
892,ASQC
893,ASR
894,assembler
895,ASSEMBLY
896,assembly code
897,Assembly Language
898,assembly language
899,Assembly Language Compiler
900,Assembly Language for Multics
901,as sensible as a dictionary
902,assertion
903,ASSET
904,asset management
905,Asset Source for Software Engineering Technology
906,assigned numbers
907,assignment
908,assignment problem
909,Association Control Service Element
910,Association for Computational Linguistics
911,Association for Computing
912,Association for Computing Machinery
913,Association for Progressive Communications
914,Association for SIMULA Users
915,Association Fran̤aise des Utilisateurs d'Unix
916,Association of American Publishers
917,Association of C and C++ Users
918,Association of Lisp Users
919,associative array
920,associative memory
921,Associative Memory Parallel Processing Language
922,associativity
923,AST
924,ASTAP
925,"AST Computers, LLC"
926,asterisk
927,asterix
928,Astra Digital Radio
929,Astral
930,"AST Research, Inc."
931,asymmetrical modulation
932,Asymmetric Digital Subscriber Line
933,Asymmetric Digital Subscriber Loop
934,asynchronous
935,Asynchronous Balanced Mode
936,Asynchronous Communications Interface Adapter
937,asynchronous logic
938,Asynchronous Transfer Mode
939,asyncronous
940,AT
941,at
942,AT-3
943,ATA
944,ATA-2
945,ATA-4
946,Atanasoff-Berry Computer
947,"Atanasoff, John Vincent"
948,ATAPI
949,ATA point
950,Atari
951,Atari ST
952,AT Attachment
953,AT Attachment Packet Interface
954,AT bus architecture
955,AtFS
956,Athena
957,Atherton Technology
958,Athlon
959,ATIS
960,ATK
961,ATLAS
962,Atlas Autocode
963,ATM
964,ATM Forum
965,ATMP
966,atob
967,ATOLL
968,atomic
969,A Tools Integration Standard
970,ATRAC
971,ATS
972,at sign
973,AT&T
974,Attachment Unit Interface
975,attacks as a service
976,AT&T Bell Labs
977,attenuation
978,atto-
979,attoparsec
980,attribute
981,Attributed File System
982,Attribute Translation System
983,ATX
984,au
985,aubergine
986,audio
987,audiographics
988,audiographic teleconferencing
989,Audio IFF
990,AudioOne
991,Audio Processing Technology
992,Audio Video Interleave
993,Augmented Backus-Naur Form
994,AUI
995,A'UM
996,AUP
997,Aurora
998,Austin Kyoto Common Lisp
999,authentication
1000,authoring
1001,autobaud
1002,autobogotiphobia
1003,AutoCAD
1004,Autocode
1005,AUTOCODER
1006,autoconf
1007,autoconfiscate
1008,"Autodesk, Inc."
1009,AUTOEXEC.BAT
1010,AUTOGRAF
1011,AUTOGRP
1012,Auto Idle
1013,Autolisp
1014,autoloader
1015,automagically
1016,automata
1017,automata theory
1018,Automated Engineering Design
1019,AUTOmated GRouPing system
1020,Automated Retroactive Minimal Moderation
1021,automated testing
1022,AUTOMATH
1023,Automatically Programmed Tools
1024,automatic baud rate detection
1025,automatic hyphenation
1026,Automatic Mathematical TRANslation
1027,Automatic Network Routing
1028,Automatic Number Identification
1029,Automatic Repeat Request
1030,Automatic Send Receive
1031,Automatic Sequence Controlled Calculator
1032,automation
1033,Automatische Rechenplanfertigung
1034,automaton
1035,"Automatrix, Inc."
1036,Autonomous System
1037,Autonomous System Number
1038,Autopass
1039,autopilot code
1040,autoprojector
1041,AUTO-PROMPT
1042,Autostat
1043,autostereogram
1044,A/UX
1045,auxiliary storage
1046,av
1047,availability
1048,Avalon/C++
1049,Avalon/Common LISP
1050,avatar
1051,AVC
1052,average seek time
1053,AverStar
1054,AVI
1055,Avon
1056,AVS
1057,aw
1058,AWE
1059,AWG
1060,awk
1061,AWT
1062,aXe
1063,AXIOM
1064,axiom
1065,AXIOM*
1066,Axiomatic Architecture Description Language
1067,axiomatic semantics
1068,axiomatic set theory
1069,Axiom of Choice
1070,Axiom of Comprehension
1071,axiom schema
1072,AXLE
1073,ayacc
1074,AYT
1075,az
1076,AZERTY
1077,B
1078,b
1079,B-0
1080,B1FF
1081,B1 security
1082,B2B
1083,B2 security
1084,B3 security
1085,b4
1086,ba
1087,Baan
1088,Babbage
1089,"Babbage, Charles"
1090,babbling error
1091,BABEL
1092,BABT
1093,Baby AT
1094,BABYLON
1095,BACAIC
1096,Bachman Diagram
1097,Bachman Information Systems
1098,backbone
1099,backbone cabal
1100,backbone network
1101,backbone site
1102,back door
1103,back-end
1104,Back End Generator
1105,Back End Generator Language
1106,background
1107,backing store
1108,back link
1109,backoff
1110,BackOffice
1111,backplane
1112,backport
1113,back-propagation
1114,back quote
1115,backronym
1116,backside cache
1117,backslash
1118,backspace
1119,backtick
1120,backtracking
1121,backup
1122,Backup Domain Controller
1123,backup pumpkin
1124,backup rotation
1125,backup software
1126,Backus-Naur Form
1127,Backus Normal Form
1128,backward analysis
1129,backward chaining
1130,backward combatability
1131,backward compatibility
1132,backward compatible
1133,backwards compatibility
1134,backwards compatible
1135,BAD
1136,Bad command or file name
1137,Bad Thing
1138,bag on the side
1139,baklava code
1140,BAL
1141,balanced computing
1142,balanced tree
1143,BALGOL
1144,BALITAC
1145,BALM
1146,balun
1147,bamf
1148,Banach algebra
1149,Banach inverse mapping theorem
1150,Banach space
1151,Banach-Tarski paradox
1152,banana label
1153,banana phenomenon
1154,banana problem
1155,bandwidth
1156,bang
1157,bang on
1158,bang path
1159,banner
1160,Banyan
1161,BAP
1162,BAPI
1163,bar
1164,Barbara Liskov
1165,bar code
1166,bare metal
1167,barf
1168,barfmail
1169,barfulation
1170,barfulous
1171,barnacle code
1172,barney
1173,Baroque
1174,baroque
1175,barrel shifter
1176,barycentric
1177,base
1178,base 64
1179,baseband
1180,base class
1181,baseline
1182,base memory
1183,basename
1184,Base Technology
1185,bash
1186,BASIC
1187,Basic Assembly Language
1188,BASIC AUTOCODER
1189,Basic COBOL
1190,Basic Encoding Rules
1191,Basic Fortran
1192,Basic Input/Output System
1193,Basic JOVIAL
1194,Basic Language for Implementation of System Software
1195,Basic Multilingual Plane
1196,Basic Object Adapter
1197,Basic Object System
1198,Basic Operating System
1199,Basic Programming Support
1200,Basic Rate Interface
1201,Basic Service Set
1202,BASIC V
1203,Bastard Operator From Hell
1204,bastion host
1205,batch
1206,batch file
1207,batch processing
1208,bathtub curve
1209,baud
1210,baud barf
1211,Baudot
1212,Baudotbetical order
1213,Baudot code
1214,baud rate
1215,bawk
1216,bay
1217,baz
1218,bb
1219,BBC
1220,BBC Micro
1221,BBC Microcomputer
1222,BBC Networking Club
1223,BBL
1224,BBN Butterfly
1225,BBN Technologies
1226,bboard
1227,BBS
1228,BC
1229,BCBF
1230,BCC
1231,BCD
1232,BCL
1233,BC NELIAC
1234,BCNU
1235,BCPL
1236,BCS
1237,bd
1238,BDC
1239,BDL
1240,BDPA
1241,be
1242,BEA
1243,beam
1244,beamer
1245,beam search
1246,bean
1247,beanie key
1248,bearer channel
1249,bear paw
1250,Beats the shit outa me
1251,Bebo
1252,BeBOP
1253,BeBox
1254,BEDO
1255,Bedrock
1256,beep
1257,beeper
1258,BEG
1259,BEGL
1260,beige toaster
1261,Be Inc
1262,BEL
1263,belief revision
1264,BELL
1265,Bell
1266,bell
1267,Bell 103
1268,"Bell Communications Research, Inc"
1269,Bellcore
1270,bell curve
1271,Bell Laboratories
1272,Bell Labs
1273,bells and whistles
1274,"bells, whistles, and gongs"
1275,benchmark
1276,"Bend Over, Here It Comes Again"
1277,Benoit B. Mandelbrot
1278,Benoit Mandelbrot
1279,"Bentley Systems, Inc."
1280,BeOS
1281,BER
1282,Berard Object and Class Specifier
1283,Berkeley
1284,Berkeley 4.2
1285,Berkeley EDIF200
1286,Berkeley FP
1287,Berkeley Internet Name Domain
1288,Berkeley Logo
1289,Berkeley Network
1290,Berkeley Quality Software
1291,"Berkeley Software Design, Inc"
1292,Berkeley Software Distribution
1293,Berkeley Softworks
1294,Berkeley Unix
1295,Berkeley Yacc
1296,berklix
1297,"Berners-Lee, Tim"
1298,Bernoulli Box
1299,Bernoulli principle
1300,Bernstein condition
1301,BERR
1302,Bertrand
1303,Bertrand Meyer
1304,Bertrand Russell
1305,Berzerkeley
1306,Berzerkley
1307,bespoke
1308,best effort
1309,best first search
1310,best fit
1311,BETA
1312,beta
1313,beta abstraction
1314,beta conversion
1315,Betamaxed
1316,beta reduction
1317,beta test
1318,beta testing
1319,beta version
1320,Bezier
1321,Bezier curve
1322,Bezier surface
1323,bf
1324,BFI
1325,bg
1326,BGA
1327,bgh
1328,BGP
1329,bh
1330,BHC Code
1331,bi
1332,bib
1333,bible
1334,BIBOP
1335,BibTeX
1336,BiCapitalisation
1337,BiCMOS
1338,bidirectional printing
1339,Bidouilleurs Sans Argent
1340,bi-endian
1341,BIFF
1342,biff
1343,Big bag of pages
1344,big blue
1345,big-endian
1346,Big Gray Wall
1347,big iron
1348,BIG-LAN
1349,Bigloo
1350,bignum
1351,bigot
1352,Big Red Switch
1353,Big Room
1354,big win
1355,bijection
1356,Bill Gates
1357,Bill Joy
1358,binaries
1359,binary
1360,binary coded decimal
1361,Binary Compatibility Standard
1362,binary counter
1363,binary data
1364,binary exponential backoff
1365,binary file
1366,binary large object
1367,binary package
1368,binary prefix
1369,binary relation
1370,binary search
1371,Binary Synchronous Transmission
1372,binary tree
1373,BIND
1374,bindery
1375,binding handle
1376,binding-time analysis
1377,BinHex
1378,Binhex 4.0
1379,BinProlog
1380,bioinformatics
1381,BioMeDical Package
1382,biometric device
1383,biometrics
1384,BIOR
1385,BIOS
1386,BIP
1387,bipartite graph
1388,BIPM
1389,bipolar
1390,bipolar transistor
1391,BIPS
1392,Bird-Meertens Formalism
1393,Birds Of a Feather
1394,BISDN
1395,Bison
1396,Bison++
1397,BIST
1398,bisync
1399,bit
1400,bit bang
1401,bit bashing
1402,bitblt
1403,bit bucket
1404,bit decay
1405,bit diddling
1406,bite
1407,Bit Error Rate
1408,bit field
1409,bitmap
1410,bitmap display
1411,bitmap font
1412,bitmapped display
1413,bit mask
1414,BITNET
1415,bitonal image
1416,bit-paired keyboard
1417,bit pattern
1418,bit plane
1419,bit rate
1420,bit-robbing
1421,bit rot
1422,bit slice
1423,bits per inch
1424,bits per pixel
1425,bits per second
1426,bit string
1427,bit stuffing
1428,BitTorrent
1429,bit twiddling
1430,bitty box
1431,bitwise
1432,bitwise complement
1433,bixie
1434,biz-core stability
1435,bj
1436,Bjarne Stroustrup
1437,BJC4000
1438,black art
1439,black box
1440,black-box testing
1441,Black Data Processing Associates
1442,black hat
1443,black hole
1444,BlackIce
1445,black magic
1446,blargh
1447,blast
1448,blat
1449,BLAZE
1450,BLAZE 2
1451,bleam
1452,bleeper
1453,bletcherous
1454,Bletchley Park
1455,Blind Carbon Copy
1456,B-LINE
1457,blinkenlights
1458,BLISS
1459,BLISS-10
1460,BLISS-11
1461,BLISS-16C
1462,BLISS-32
1463,BLISS-36
1464,blit
1465,blitter
1466,blivet
1467,bloat
1468,bloatware
1469,BLOB
1470,block
1471,Block And List Manipulation
1472,Block Diagram Compiler
1473,blocked records
1474,Block Redundancy Check
1475,Block Started by Symbol
1476,block-structured
1477,block transfer computations
1478,blog
1479,blog-driven development
1480,"Bloggs Family, the"
1481,Bloombug
1482,Blosim
1483,blow an EPROM
1484,blow away
1485,blowing your buffer
1486,blow out
1487,blow past
1488,blow up
1489,BLOX
1490,BLT
1491,Blue
1492,Blue Book
1493,Blue Box
1494,blue dot syndrome
1495,Blue Glue
1496,Blue Screen of Death
1497,Blue Screen of Life
1498,Blue Sky Software
1499,Bluetooth
1500,blue wire
1501,blurgle
1502,bm
1503,BMAN
1504,BMASF
1505,BMDP
1506,B-Method
1507,BMF
1508,BMP
1509,bmp
1510,BMWF
1511,bn
1512,BNC
1513,BNF
1514,BNR Pascal
1515,BNR Prolog
1516,bo
1517,BOA
1518,boa
1519,board
1520,boat anchor
1521,Bob
1522,Bobo the Webmonkey
1523,BOCS
1524,Boehm B.
1525,BOEING
1526,Boeing Airplane Company Algebraic Interpreter Coding
1527,BOFH
1528,bogometer
1529,BogoMips
1530,bogon
1531,bogon filter
1532,bogon flux
1533,bogosity
1534,bogo-sort
1535,bogotify
1536,bogue out
1537,BOHICA
1538,Bohr bug
1539,boink
1540,BOLERO
1541,"Bolt, Beranek and Newman, Inc."
1542,bomb
1543,bon
1544,bondage-and-discipline language
1545,bonk/oif
1546,Booch method
1547,book
1548,bookmark
1549,Bookreader
1550,book titles
1551,Bookviewer
1552,bool
1553,Boolean
1554,Boolean algebra
1555,Boolean logic
1556,Boolean search
1557,"Boole, George"
1558,Booster
1559,boot
1560,boot block
1561,boot disk
1562,booting
1563,BOOTP
1564,bootstrap
1565,bootstrap loader
1566,boot virus
1567,Border Gateway Protocol
1568,borf
1569,"Borland International, Inc."
1570,Borland Software Corporation
1571,BOS
1572,Bose-Chaudhuri-Hocquenghem Code
1573,BOSS
1574,bot
1575,botmaster
1576,botnet
1577,botnet herder
1578,bottom
1579,BottomFeeder
1580,bottom feeder
1581,bottom-unique
1582,bottom-up implementation
1583,bottom-up model
1584,bottom-up testing
1585,botwar
1586,bounce
1587,bounce message
1588,boundary scan
1589,boundary value
1590,boundary value analysis
1591,bounded
1592,boundedly complete
